Date,Open,High,Low,Close,Adj Close,Volume,MA_30,MA_90,Daily_Return,Volatility,Year,Month,EMA_30,Lag_1,Lag_2,Lag_3
2015-09-08,111.75,112.559998,110.32,112.309998,103.787254,54843600,110.44099959999998,118.81280018,0.02782100378386576,5.15327858215205,2015,9,114.20616122559274,109.269997,110.370003,112.339996
2015-09-09,113.760002,114.019997,109.769997,110.150002,101.791168,85010800,111.082,118.52520023999999,-0.019232446251134183,4.892223677462482,2015,9,113.94447353361902,112.309998,109.269997,110.370003
2015-09-10,110.269997,113.279999,109.900002,112.57,104.027512,62892800,111.3699998,118.26800024,0.021970022297412184,4.566810936443627,2015,9,113.85579782177263,110.150002,112.309998,109.269997
2015-09-11,111.790001,114.209999,111.760002,114.209999,105.543083,49915500,111.49899989999999,118.02020026,0.014568703917562376,4.240755015907575,2015,9,113.87864951069052,112.57,110.150002,112.309998
2015-09-14,116.580002,116.889999,114.860001,115.309998,106.559593,58363400,111.7009996,117.79760018,0.009631372118302783,3.971437285981676,2015,9,113.97099457451694,114.209999,112.57,110.150002
2015-09-15,115.93,116.529999,114.419998,116.279999,107.455994,43341200,112.05299930000001,117.60320016000001,0.008412115313712887,3.8852689081304854,2015,9,114.11996260196746,115.309998,114.209999,112.57
2015-09-16,116.25,116.540001,115.440002,116.410004,107.576134,37173500,112.9219996,117.4176002,0.0011180340653424992,3.9277061057567106,2015,9,114.26770720829214,116.279999,115.309998,114.209999
2015-09-17,115.660004,116.489998,113.720001,113.919998,105.275085,64112600,113.0799998,117.24460016,-0.02138996576273633,3.9036420712891746,2015,9,114.24527435614426,116.410004,116.279999,115.309998
2015-09-18,112.209999,114.300003,111.870003,113.449997,104.840744,74285300,113.38799920000001,117.1122001,-0.004125711097712759,3.880885036784634,2015,9,114.19396613961882,113.919998,116.410004,116.279999
2015-09-21,113.669998,115.370003,113.660004,115.209999,106.467194,50222000,113.98199939999999,116.95080010000001,0.015513460084093156,3.8736143680123765,2015,9,114.2595166467402,113.449997,113.919998,116.410004
2015-09-22,113.379997,114.18,112.519997,113.400002,104.794556,50346200,114.0909998,116.70560006,-0.01571041589888389,3.645055430369059,2015,9,114.20406408888599,115.209999,113.449997,113.919998
2015-09-23,113.629997,114.720001,113.300003,114.32,105.644722,35756700,114.50799959999999,116.47980004000001,0.008112856999773266,3.6558685173580727,2015,9,114.21154382508688,113.400002,115.209999,113.449997
2015-09-24,113.25,115.5,112.370003,115.0,106.273109,50219500,114.7509996,116.24340004000001,0.005948215535339418,3.6500136740387044,2015,9,114.26241196540386,114.32,113.400002,115.209999
2015-09-25,116.440002,116.690002,114.019997,114.709999,106.005119,56151900,114.8009996,115.96740012000001,-0.0025217478260869397,3.639999968972218,2015,9,114.29128854828102,115.0,114.32,113.400002
2015-09-28,113.849998,114.57,112.440002,112.440002,103.907394,52109000,114.51400000000001,115.62380026000001,-0.019789007233798284,3.58145158671452,2015,9,114.17185070645644,114.709999,115.0,114.32
2015-09-29,112.830002,113.510002,107.860001,109.059998,100.78389,73365400,113.7919999,115.16360008,-0.030060511738518203,3.514907390389436,2015,9,113.84205375765279,112.440002,114.709999,115.0
2015-09-30,110.169998,111.540001,108.730003,110.300003,101.929794,66473000,113.1809998,114.75460014000001,0.011369934189802589,3.430337116988228,2015,9,113.61353435393326,109.059998,112.440002,114.709999
2015-10-01,109.07,109.620003,107.309998,109.580002,101.264427,63929100,112.7470002,114.44180016,-0.006527660747207897,3.4049983515081816,2015,10,113.35330646013111,110.300003,109.059998,112.440002
2015-10-02,108.010002,111.010002,107.550003,110.379997,102.003716,58019800,112.44000020000001,114.14620002,0.007300556537679359,3.409344262191998,2015,10,113.16148004334846,109.580002,110.300003,109.059998
2015-10-05,109.879997,111.370003,109.07,110.779999,102.373367,52064700,111.9970002,113.87180000000001,0.003623863117155235,3.227821124002238,2015,10,113.00783610506792,110.379997,109.580002,110.300003
2015-10-06,110.629997,111.739998,109.769997,111.309998,102.863136,48196800,111.7879998,113.64260002,0.00478424810240341,2.7808239649226234,2015,10,112.89829816280547,110.779999,110.379997,109.580002
2015-10-07,111.739998,111.769997,109.410004,110.779999,102.373367,46765600,111.4339997,113.39060006000001,-0.0047614680578826896,2.3071353207905823,2015,10,112.76163370068899,111.309998,110.779999,110.379997
